Título,Empresa,Local,Adequada (IA),Skills (IA),Motivo (IA),Link
Arquiteto (a)Jr. HOME OFFICE,,"Vitória, Espírito Santo",Sim,,"A vaga é para Arquiteto(a) Jr., o que se alinha com Arquitetura de Edificações, e é HOME OFFICE, atendendo a regra de localização. Nenhuma skill foi mencionada no texto da vaga.","https://www.glassdoor.com.br/job-listing/arquiteto-a-jr-home-office-vipp-assessoria-JV_IC2457828_KO0,26_KE27,42.htm?jl=1010107154474"
ARQUITETO(A) PROJETISTA / GESTOR DE OBRAS,,Brasil,Sim,,A vaga é para Arquiteto(a) Projetista/Gestor de Obras e o local 'Brasil' é considerado correto. Nenhuma das habilidades explicitamente listadas foi encontrada na descrição da vaga.,"https://www.glassdoor.com.br/job-listing/arquiteto-a-projetista-gestor-de-obras-a-cultura-do-negocio-consultoria-empresarial-ltda-JV_KO0,38_KE39,88.htm?jl=1010125019708"
Cadista,,"Brasília, Distrito Federal",Sim,,"A vaga de Cadista é relevante para a área de Arquitetura de Edificações e o local é Brasília, DF, o que está dentro da regra de localização.","https://www.glassdoor.com.br/job-listing/cadista-dessine-JV_IC2494161_KO0,7_KE8,15.htm?jl=1010087798433"
Desenhista Cadista,,Brasil,Sim,,"A vaga é para Desenhista Cadista, perfil comum em Arquitetura de Edificações, e o local 'Brasil' é considerado correto pela regra.","https://www.glassdoor.com.br/job-listing/desenhista-cadista-comunication-bsb-JV_KO0,18_KE19,35.htm?jl=1010132325525"
PROJETISTA CADISTA - Lago Sul,,"Brasília, Distrito Federal",Sim,Autocad,"A vaga é para projetista cadista em Brasília, que se encaixa na área de arquitetura de edificações, e o local é compatível, apesar de apenas uma habilidade ser explicitamente mencionada.","https://www.glassdoor.com.br/job-listing/projetista-cadista-lago-sul-parket-brazil-JV_IC2494161_KO0,27_KE28,41.htm?jl=1010110014739"
Cadista Junior,,"Brasília, Distrito Federal",Sim,,"A vaga é para Cadista Junior em Brasília, indicando ligação com o setor de arquitetura de edificações, e a localização está correta para o DF.","https://www.glassdoor.com.br/job-listing/cadista-junior-meizon-consultoria-e-negocios-ltda-JV_IC2494161_KO0,14_KE15,49.htm?jl=1009413182726"
Cadista,,"Brasília, Distrito Federal",Sim,,"A vaga de Cadista é relevante para a área de arquitetura e o local Brasília está dentro dos critérios, porém nenhuma das habilidades listadas foi explicitamente mencionada na descrição da vaga fornecida.","https://www.glassdoor.com.br/job-listing/cadista-fox-engenharia-e-consultoria-JV_IC2494161_KO0,7_KE8,36.htm?jl=1009978455964"
ARQUITETO JÚNIOR - SIA,,"Brasília, Distrito Federal",Sim,,"A vaga é para Arquiteto Júnior em Brasília, DF, o que está alinhado com Arquitetura de Edificações, mas não foram mencionadas as habilidades da lista na descrição.","https://www.glassdoor.com.br/job-listing/arquiteto-j%C3%BAnior-sia-jobbol-JV_IC2494161_KO0,20_KE21,27.htm?jl=1010138135126"
Analista de Novos Negócios,Blokocapital,"Remoto, BR",Indeed,"AutoCAD, QGIS, SketchUp, Pacote Office","Vaga para Analista de Novos Negócios em loteamentos, com formação em Arquitetura e Urbanismo, responsabilidades técnicas (masterplans, estudos urbanísticos) e local remoto.",19/05/2026,https://br.indeed.com/viewjob?jk=a2121214639104bf
BI - Engenheiro Orçamentista,Brasal,"Brasília, Federal District, Brazil",LinkedIn,"AutoCAD, SketchUp, Revit, MS Project, Prevision, Pacote Office, Archicad, Enscape, BIM","A vaga é para Engenheiro Orçamentista, área de Engenharia Civil e construção civil, com local em Brasília/DF.",19/05/2026,https://www.linkedin.com/jobs/view/4412859012
